category,occurrences,depths_seen,depth_occurrences_json
Sleep & Lounge,882,"4,5,6","{""4"":154,""5"":681,""6"":47}"
Swimsuits & Cover Ups,847,4,"{""4"":847}"
Tops & Tees,828,"4,5,6","{""4"":62,""5"":8,""6"":758}"
Sweaters,805,"4,5,6","{""4"":771,""5"":20,""6"":14}"
Lingerie,770,5,"{""5"":770}"
Sets,761,"5,6,7","{""5"":217,""6"":519,""7"":25}"
Rings,759,"4,6","{""4"":671,""6"":88}"
Sunglasses & Eyewear Accessories,729,4,"{""4"":729}"
Fashion,710,4,"{""4"":710}"
Baby Girls,692,"3,5","{""3"":677,""5"":15}"
Blouses & Button-Down Shirts,691,"5,7","{""5"":683,""7"":8}"
Loafers & Slip-Ons,665,4,"{""4"":665}"
Pumps,630,4,"{""4"":630}"
Pants,581,"4,5,6","{""4"":385,""5"":123,""6"":73}"
"Coats, Jackets & Vests",549,4,"{""4"":549}"
Platforms & Wedges,545,5,"{""5"":545}"
"Uniforms, Work & Safety",544,"2,3","{""2"":31,""3"":513}"
Sunglasses,540,"4,5","{""4"":18,""5"":522}"
Slippers,538,"4,5","{""4"":522,""5"":16}"
Jackets & Coats,534,"4,5,6","{""4"":483,""5"":38,""6"":13}"
Pendant Necklaces,531,5,"{""5"":531}"
Road Running,522,6,"{""6"":522}"
Tunics,521,5,"{""5"":521}"
Drop & Dangle,503,5,"{""5"":503}"
Tanks & Camis,499,"5,6,7","{""5"":393,""6"":3,""7"":103}"
Fashion Hoodies & Sweatshirts,489,4,"{""4"":489}"
Active Shirts & Tees,483,5,"{""5"":483}"
"Wallets, Card Cases & Money Organizers",482,4,"{""4"":482}"
Socks,475,"5,6,7","{""5"":357,""6"":65,""7"":53}"
Costumes,470,"5,6","{""5"":451,""6"":19}"
Jeans,467,"4,6","{""4"":464,""6"":3}"
Socks & Hosiery,461,"4,6","{""4"":410,""6"":51}"
"Shoe, Jewelry & Watch Accessories",446,"1,2","{""1"":10,""2"":436}"
Bras,422,6,"{""6"":422}"
Outdoor & Work,417,4,"{""4"":417}"
Baseball Caps,385,"5,8","{""5"":316,""8"":69}"
Leggings,383,"4,5,6","{""4"":181,""5"":185,""6"":17}"
Ankle & Bootie,382,5,"{""5"":382}"
Body Jewelry,382,4,"{""4"":382}"
Pullovers,379,5,"{""5"":379}"
Underwear,374,"4,5,6","{""4"":357,""5"":6,""6"":11}"
Costumes & Cosplay Apparel,371,4,"{""4"":371}"
Wallets,370,"5,7","{""5"":350,""7"":20}"
Baby Boys,366,"3,5","{""3"":348,""5"":18}"
Stud,358,5,"{""5"":358}"
Walking,342,5,"{""5"":342}"
Sneakers,341,"4,5","{""4"":285,""5"":56}"
Bikinis,337,"5,6,7","{""5"":292,""6"":14,""7"":31}"
Clothing Sets,329,"4,5,6","{""4"":108,""5"":220,""6"":1}"
Heeled Sandals,325,5,"{""5"":325}"
Piercing Jewelry,322,5,"{""5"":322}"
Cardigans,315,5,"{""5"":315}"
Active Pants,313,5,"{""5"":313}"
Shorts,305,"4,5,6","{""4"":231,""5"":20,""6"":54}"
"Jumpsuits, Rompers & Overalls",302,4,"{""4"":302}"
Outdoor,302,4,"{""4"":302}"
Active Shorts,294,5,"{""5"":294}"
Skirts,294,"4,5,6","{""4"":193,""5"":19,""6"":82}"
Casual Button-Down Shirts,288,5,"{""5"":288}"
Hiking & Trekking,284,5,"{""5"":284}"
Mules & Clogs,283,4,"{""4"":283}"
Oxfords,283,4,"{""4"":283}"
Swim,280,"4,5","{""4"":227,""5"":53}"
Athletic Socks,276,5,"{""5"":276}"
Crossbody Bags,271,4,"{""4"":271}"
Belts,260,"4,5,6,7","{""4"":159,""5"":2,""6"":89,""7"":10}"
One-Pieces,259,5,"{""5"":259}"
Cycling,257,"3,5","{""3"":225,""5"":32}"
Shoulder Bags,257,4,"{""4"":257}"
Hoodies,252,6,"{""6"":252}"
Backpacks,251,3,"{""3"":251}"
Tops,250,"3,5,6,7","{""3"":1,""5"":79,""6"":164,""7"":6}"
Statement,249,5,"{""5"":249}"
Flip-Flops,245,5,"{""5"":245}"
Scarves & Wraps,243,"4,5","{""4"":238,""5"":5}"
Snow & Cold Weather,232,5,"{""5"":232}"
Everyday Bras,230,7,"{""7"":230}"
Polos,219,"5,6,7","{""5"":193,""6"":19,""7"":7}"
Charms & Charm Bracelets,208,5,"{""5"":208}"
Jewelry Accessories,208,3,"{""3"":208}"
Kids & Baby,208,3,"{""3"":208}"
Bottoms,203,"5,6,7","{""5"":48,""6"":151,""7"":4}"
Pant Sets,203,"5,6","{""5"":64,""6"":139}"
Team Sports,203,5,"{""5"":203}"
Tees,202,"5,6","{""5"":153,""6"":49}"
Hoop,200,5,"{""5"":200}"
Golf,197,"3,5","{""3"":134,""5"":63}"
Sleepwear & Robes,197,"3,4,5,6","{""3"":1,""4"":145,""5"":48,""6"":3}"
Robes,195,"5,6","{""5"":58,""6"":137}"
Jumpsuits,192,5,"{""5"":192}"
Luggage,190,3,"{""3"":190}"
Slides,190,5,"{""5"":190}"
Totes,188,4,"{""4"":188}"
Work & Utility,187,5,"{""5"":187}"
Chelsea,183,5,"{""5"":183}"
Nightgowns & Sleepshirts,178,"6,7","{""6"":175,""7"":3}"
Shoe Care & Accessories,177,"2,3","{""2"":10,""3"":167}"
Yoga,177,3,"{""3"":177}"
Casual Daypacks,176,4,"{""4"":176}"
Travel Accessories,173,3,"{""3"":173}"
Jewelry Boxes & Organizers,172,4,"{""4"":172}"
Panties,168,"5,6,7","{""5"":18,""6"":149,""7"":1}"
Water Shoes,168,5,"{""5"":168}"
Gloves & Mittens,167,"4,5,7","{""4"":144,""5"":7,""7"":16}"
Sports Bras,166,7,"{""7"":166}"
Charms,164,6,"{""6"":164}"
Cover-Ups,163,"5,6","{""5"":162,""6"":1}"
Riding,162,5,"{""5"":162}"
Basketball,158,"3,5,6","{""3"":25,""5"":26,""6"":107}"
Bodysuits,156,"3,4,5,7","{""3"":2,""4"":25,""5"":102,""7"":27}"
Skullies & Beanies,156,5,"{""5"":156}"
Vests,153,5,"{""5"":153}"
Base Layers & Compression,148,5,"{""5"":148}"
Jackets,147,"3,5,6","{""3"":1,""5"":120,""6"":26}"
Club & Night Out,141,5,"{""5"":141}"
Active & Performance,140,5,"{""5"":140}"
Special Occasion,140,"5,6","{""5"":103,""6"":37}"
Bangle,139,5,"{""5"":139}"
Trail Running,139,"5,6","{""5"":1,""6"":138}"
Mid-Calf,137,5,"{""5"":137}"
Cocktail,136,5,"{""5"":136}"
Fashion Scarves,136,"4,5","{""4"":4,""5"":132}"
Fitness & Cross-Training,136,5,"{""5"":136}"
Hiking Boots,135,6,"{""6"":135}"
Medical,135,"4,5","{""4"":2,""5"":133}"
Suits & Sport Coats,135,"4,5","{""4"":132,""5"":3}"
Boxer Briefs,133,"5,7","{""5"":126,""7"":7}"
Sport Sandals & Slides,132,5,"{""5"":132}"
Formal,131,5,"{""5"":131}"
Pajama Sets,128,"5,6,7","{""5"":110,""6"":16,""7"":2}"
Sweatpants,127,6,"{""6"":127}"
Link,126,"5,7","{""5"":117,""7"":9}"
"Ties, Cummerbunds & Pocket Squares",121,4,"{""4"":121}"
Chains,118,5,"{""5"":118}"
Hiking Shoes,116,6,"{""6"":116}"
Rompers,116,"5,6","{""5"":58,""6"":58}"
Brooches & Pins,114,4,"{""4"":114}"
Work,114,5,"{""5"":114}"
Balaclavas,113,5,"{""5"":113}"
Bead,113,7,"{""7"":113}"
Briefs,113,"5,6,7","{""5"":67,""6"":1,""7"":45}"
Cold Weather Gloves,113,5,"{""5"":113}"
Clutches & Evening Bags,112,4,"{""4"":112}"
Pendants & Coins,112,4,"{""4"":112}"
Suiting & Blazers,112,4,"{""4"":112}"
Fleece,111,"5,6","{""5"":51,""6"":60}"
Jewelry Sets,111,4,"{""4"":111}"
Rain,111,5,"{""5"":111}"
Combat,109,5,"{""5"":109}"
Knee-High,109,5,"{""5"":109}"
Chukka,108,5,"{""5"":108}"
"Keyrings, Keychains & Charms",108,4,"{""4"":108}"
Jerseys,106,5,"{""5"":106}"
Wedding & Engagement,106,4,"{""4"":106}"
Gloves,105,"5,8","{""5"":90,""8"":15}"
Masks,105,"4,5","{""4"":99,""5"":6}"
Cuff,101,5,"{""5"":101}"
Down Jackets & Parkas,101,5,"{""5"":101}"
Skiing,101,3,"{""3"":101}"
Top-Handle Bags,101,4,"{""4"":101}"
Bands,100,5,"{""5"":100}"
"Tops, Tees & Shirts",97,4,"{""4"":97}"
Leather & Faux Leather,95,5,"{""5"":95}"
Western,95,5,"{""5"":95}"
Watch Bands,94,4,"{""4"":94}"
Dress Shirts,93,5,"{""5"":93}"
Tankinis,92,"5,6,7","{""5"":84,""6"":6,""7"":2}"
Active Hoodies,89,5,"{""5"":89}"
Eyewear Frames,88,5,"{""5"":88}"
Soccer,88,"5,6","{""5"":28,""6"":60}"
Dance,87,"3,5","{""3"":75,""5"":12}"
Down & Down Alternative,87,"5,6","{""5"":83,""6"":4}"
Tank Tops,87,"5,6","{""5"":15,""6"":72}"
Jewelry Boxes,85,5,"{""5"":85}"
Short Sets,84,"5,6","{""5"":36,""6"":48}"
Tracksuits,84,6,"{""6"":84}"
Wigs,84,4,"{""4"":84}"
Barbells,83,6,"{""6"":83}"
Pendants Only,83,5,"{""5"":83}"
Skateboarding,83,5,"{""5"":83}"
"Trench, Rain & Anoraks",83,5,"{""5"":83}"
Work Utility & Safety,83,"4,5","{""4"":5,""5"":78}"
Board Shorts,82,"5,6","{""5"":77,""6"":5}"
Exotic Apparel,82,4,"{""4"":82}"
Competitive Swimwear,81,3,"{""3"":81}"
Rash Guard Shirts,81,"5,6","{""5"":80,""6"":1}"
Keychains,80,7,"{""7"":80}"
Lightweight Jackets,80,5,"{""5"":80}"
Blazers,78,5,"{""5"":78}"
Shapewear,78,"5,6","{""5"":3,""6"":75}"
Travel Duffels,78,3,"{""3"":78}"
Chokers,77,5,"{""5"":77}"
Stretch,75,5,"{""5"":75}"
Tennis & Racquet Sports,74,5,"{""5"":74}"
Motorcycle,73,5,"{""5"":73}"
Umbrellas,73,3,"{""3"":73}"
Trunks,72,"5,6,7","{""5"":56,""6"":14,""7"":2}"
Anklets,71,4,"{""4"":71}"
Footies & Rompers,71,5,"{""5"":71}"
Military,71,"4,5","{""4"":5,""5"":66}"
Evening Bags,70,5,"{""5"":70}"
Maternity,70,3,"{""3"":70}"
Sleep Bottoms,68,5,"{""5"":68}"
Buttons & Pins,66,7,"{""7"":66}"
Neckties,66,"4,5,7","{""4"":2,""5"":51,""7"":13}"
Shoelaces,66,4,"{""4"":66}"
Sun Hats,66,"5,8","{""5"":64,""8"":2}"
Thermal Underwear,64,5,"{""5"":64}"
Card & ID Cases,61,5,"{""5"":61}"
Compression Pants & Tights,61,6,"{""6"":61}"
Hiking & Outdoor Recreation,61,3,"{""3"":61}"
Necklaces & Pendants,61,4,"{""4"":61}"
Replacement Sunglass Lenses,61,5,"{""5"":61}"
Satchels,61,4,"{""4"":61}"
Gym Bags,60,3,"{""3"":60}"
Pendants,60,"4,5","{""4"":9,""5"":51}"
Watch Accessories,60,3,"{""3"":60}"
Headwear,58,5,"{""5"":58}"
Messenger Bags,58,3,"{""3"":58}"
Scrub Tops,58,6,"{""6"":58}"
Active Sweatshirts,57,5,"{""5"":57}"
Packing Organizers,57,4,"{""4"":57}"
Tights,57,5,"{""5"":57}"
Headbands,55,5,"{""5"":55}"
Henleys,55,5,"{""5"":55}"
"Tights, Pants & Shorts",55,5,"{""5"":55}"
Carry-Ons,54,4,"{""4"":54}"
Denim,54,"5,6","{""5"":41,""6"":13}"
Track & Active Jackets,53,5,"{""5"":53}"
Calf Socks,52,6,"{""6"":52}"
Skirts & Skorts,52,"4,5","{""4"":12,""5"":40}"
Wraps & Pashminas,52,5,"{""5"":52}"
Overalls,50,"4,5,6","{""4"":3,""5"":43,""6"":4}"
Suitcases,50,4,"{""4"":50}"
Active Base Layers,49,5,"{""5"":49}"
Raincoats,49,6,"{""6"":49}"
Toddler Test,48,2,"{""2"":48}"
Dress,47,5,"{""5"":47}"
Flat Front,47,5,"{""5"":47}"
Industrial & Construction Boots,47,6,"{""6"":47}"
Kids' Backpacks,47,4,"{""4"":47}"
One-Piece Suits,47,5,"{""5"":47}"
Sweatshirts,47,6,"{""6"":47}"
Wedding Rings,47,4,"{""4"":47}"
Work & Safety,47,5,"{""5"":47}"
Cargo,46,5,"{""5"":46}"
Casual Jackets,46,5,"{""5"":46}"
Shearling,46,5,"{""5"":46}"
Slipper Socks,46,5,"{""5"":46}"
Strand,46,5,"{""5"":46}"
Undershirts,46,5,"{""5"":46}"
Fedoras,45,5,"{""5"":45}"
Active Tracksuits,44,6,"{""6"":44}"
Shoe Decoration Charms,44,4,"{""4"":44}"
Special Occasion Accessories,44,4,"{""4"":44}"
Scarves,43,"4,7","{""4"":36,""7"":7}"
Sport Coats & Blazers,43,5,"{""5"":43}"
Tanks Tops,43,7,"{""7"":43}"
Ballet & Dance,42,5,"{""5"":42}"
Clutches,42,5,"{""5"":42}"
Cold Weather Scarves & Wraps,42,5,"{""5"":42}"
Fur & Faux Fur,42,5,"{""5"":42}"
Wristlets,42,4,"{""4"":42}"
Luggage Tags & Handle Wraps,41,4,"{""4"":41}"
Neck Gaiters,41,5,"{""5"":41}"
Suits,41,"5,6","{""5"":39,""6"":2}"
Coin Purses & Pouches,40,5,"{""5"":40}"
Plugs,40,6,"{""6"":40}"
Luggage Tags,39,5,"{""5"":39}"
Snow & Rainwear,39,"4,5","{""4"":19,""5"":20}"
Wool & Pea Coats,39,5,"{""5"":39}"
Clogs & Mules,38,"4,5","{""4"":35,""5"":3}"
Cuffs & Wraps,38,5,"{""5"":38}"
Wrap,38,5,"{""5"":38}"
Camisoles & Tanks,37,6,"{""6"":37}"
Playwear,37,6,"{""6"":37}"
Sleep Sets,37,5,"{""5"":37}"
Stacking,37,5,"{""5"":37}"
Track Pants,37,6,"{""6"":37}"
Tunnels,37,6,"{""6"":37}"
Cuff Links,36,4,"{""4"":36}"
Hobo Bags,36,4,"{""4"":36}"
Kids Shoes Union,36,2,"{""2"":36}"
Props,36,3,"{""3"":36}"
Boxers,35,"5,6,7","{""5"":31,""6"":2,""7"":2}"
Charm Bracelets,35,6,"{""6"":35}"
Eyeglass Cases,35,5,"{""5"":35}"
Fascinators,34,5,"{""5"":34}"
Fashion Backpacks,34,4,"{""4"":34}"
Leg Warmers,34,5,"{""5"":34}"
Newsboy Caps,34,5,"{""5"":34}"
Outerwear,34,6,"{""6"":34}"
Shells,34,6,"{""6"":34}"
Suit Sets,34,5,"{""5"":34}"
Bandanas,33,7,"{""7"":33}"
Bow Ties,33,"4,5,7","{""4"":3,""5"":29,""7"":1}"
Handbag Accessories,33,4,"{""4"":33}"
No Show & Liner Socks,33,6,"{""6"":33}"
Card Cases,32,6,"{""6"":32}"
Top 50 by Product Type,32,2,"{""2"":32}"
Wear to Work,32,5,"{""5"":32}"
Body Chains,31,5,"{""5"":31}"
Button-Down Shirts,31,"5,6,7","{""5"":18,""6"":8,""7"":5}"
Folding Umbrellas,31,4,"{""4"":31}"
Scrub Bottoms,31,6,"{""6"":31}"
Slips,31,"5,6","{""5"":3,""6"":28}"
Stick Umbrellas,31,4,"{""4"":31}"
Two-Pieces,31,"5,6","{""5"":21,""6"":10}"
Windbreakers,31,6,"{""6"":31}"
Sheers,30,5,"{""5"":30}"
Tie Sets,30,5,"{""5"":30}"
Weapons & Armor,30,4,"{""4"":30}"
Cold Weather,29,4,"{""4"":29}"
Cowboy Hats,29,"5,8","{""5"":28,""8"":1}"
Jewelry Trays,29,5,"{""5"":29}"
One-Piece Pajamas,29,7,"{""7"":29}"
Plus-Size Fashion,29,2,"{""2"":29}"
Sports Duffels,29,4,"{""4"":29}"
Strands,29,5,"{""5"":29}"
Suspenders,29,4,"{""4"":29}"
Swimwear TEST,29,2,"{""2"":29}"
Boy Shorts,28,"7,8","{""7"":27,""8"":1}"
Cotton,28,6,"{""6"":28}"
Food Service,28,"4,5","{""4"":15,""5"":13}"
Loafers,28,4,"{""4"":28}"
Loose Gemstones,28,4,"{""4"":28}"
Nursing,28,4,"{""4"":28}"
Hipsters,27,7,"{""7"":27}"
Jewelry Towers,27,5,"{""5"":27}"
Luggage Sets,27,4,"{""4"":27}"
Wedding Bands,27,5,"{""5"":27}"
Women's Plus-Size Apparel,27,2,"{""2"":27}"
Baby Dolls & Chemises,26,6,"{""6"":26}"
Blanket Sleepers,26,"5,6","{""5"":5,""6"":21}"
"Robes, Capes & Jackets",26,5,"{""5"":26}"
Waist Packs,26,3,"{""3"":26}"
Skirt Sets,25,"5,6","{""5"":5,""6"":20}"
Snowboarding,25,3,"{""3"":25}"
Studs,25,6,"{""6"":25}"
Swimwear,25,6,"{""6"":25}"
Trench Coats,25,6,"{""6"":25}"
Briefcases,24,3,"{""3"":24}"
Control Panties,24,7,"{""7"":24}"
Customers' Most-Loved: Sweaters Under $30 pASIN Test,24,2,"{""2"":24}"
G-Strings & Thongs,24,"5,7","{""5"":8,""7"":16}"
Pants & Capris,24,"4,6","{""4"":8,""6"":16}"
Trench & Rain,24,5,"{""5"":24}"
Bustiers & Corsets,23,6,"{""6"":23}"
Clip-Ons,23,5,"{""5"":23}"
Insulated,23,6,"{""6"":23}"
Repair Tools & Kits,23,4,"{""4"":23}"
Socks & Tights,23,"4,6","{""4"":21,""6"":2}"
Wool & Blends,23,5,"{""5"":23}"
Y-Necklaces,23,5,"{""5"":23}"
Accessory Sets,22,5,"{""5"":22}"
Active Skirts,22,6,"{""6"":22}"
Cabinets & Cases,22,4,"{""4"":22}"
Engagement Rings,22,5,"{""5"":22}"
Half Slips,22,7,"{""7"":22}"
Lingerie Sets,22,6,"{""6"":22}"
Lockets,22,5,"{""5"":22}"
Nightgowns,22,"4,5,6","{""4"":1,""5"":12,""6"":9}"
Scrub Sets,22,6,"{""6"":22}"
Shrugs,22,5,"{""5"":22}"
Swimwear Sets,22,"5,6","{""5"":14,""6"":8}"
Bucket Hats,21,5,"{""5"":21}"
Business Card Cases,21,6,"{""6"":21}"
Denim Jackets,21,5,"{""5"":21}"
Eyeglass Chains,21,5,"{""5"":21}"
Tennis,21,"3,5","{""3"":6,""5"":15}"
Bowling,20,5,"{""5"":20}"
Bridal Sets,20,5,"{""5"":20}"
Everyday Apparel Essentials,20,2,"{""2"":20}"
Handbag Organizers,20,5,"{""5"":20}"
Health Care & Food Service,20,5,"{""5"":20}"
Keyrings & Keychains,20,4,"{""4"":20}"
One Pieces,20,6,"{""6"":20}"
Shorts & Trunks,20,5,"{""5"":20}"
Travel Totes,20,3,"{""3"":20}"
Compression Socks,19,6,"{""6"":19}"
Drawstring Bags,19,4,"{""4"":19}"
Girls Sneakers,19,3,"{""3"":19}"
Graduation Cohort 4 - Daily,19,2,"{""2"":19}"
Toe Rings,19,5,"{""5"":19}"
Active Sweatsuits,18,6,"{""6"":18}"
Belt Buckles,18,7,"{""7"":18}"
Charm,18,5,"{""5"":18}"
Equestrian Sports,18,3,"{""3"":18}"
MFN ONLY V2,18,2,"{""2"":18}"
Pearl Strands,18,5,"{""5"":18}"
Rash Guard Sets,18,"6,7","{""6"":13,""7"":5}"
Soccer & Futsal,18,3,"{""3"":18}"
Bibs & Pants,17,5,"{""5"":17}"
Climbing,17,5,"{""5"":17}"
Liners & Ankle Socks,17,6,"{""6"":17}"
Mittens,17,5,"{""5"":17}"
Night Out,17,5,"{""5"":17}"
Shoe & Boot Trees,17,4,"{""4"":17}"
Tights & Pants,17,6,"{""6"":17}"
Waist Cinchers,17,7,"{""7"":17}"
Active Skorts,16,6,"{""6"":16}"
Applique Patches,16,7,"{""7"":16}"
Baseball & Softball,16,"5,6","{""5"":5,""6"":11}"
Clasp,16,7,"{""7"":16}"
Eternity Rings,16,5,"{""5"":16}"
Hoodies & Active,16,5,"{""5"":16}"
Jammers,16,5,"{""5"":16}"
Over-the-Knee,16,5,"{""5"":16}"
PattyBoutik Apparel,16,2,"{""2"":16}"
Snow Suits,16,"5,6","{""5"":7,""6"":9}"
Women's Swimwear,16,3,"{""3"":16}"
Luggage Straps,15,4,"{""4"":15}"
Quilted Lightweight Jackets,15,5,"{""5"":15}"
Rain Footwear,15,5,"{""5"":15}"
Rain Jackets,15,"5,6","{""5"":9,""6"":6}"
Sport Sandals,15,5,"{""5"":15}"
Tie Clips,15,4,"{""4"":15}"
Women's Halloween Costumes,15,2,"{""2"":15}"
Insulated Shells,14,6,"{""6"":14}"
Money Clips,14,5,"{""5"":14}"
Screws,14,6,"{""6"":14}"
Scrub Jackets,14,6,"{""6"":14}"
Shoe Care Treatments & Dyes,14,"3,4","{""3"":10,""4"":4}"
Sport Headbands,14,4,"{""4"":14}"
Track & Field & Cross Country,14,6,"{""6"":14}"
Footies,13,6,"{""6"":13}"
Footwear,13,"4,5","{""4"":11,""5"":2}"
Martial Arts,13,3,"{""3"":13}"
Overalls & Coveralls,13,6,"{""6"":13}"
Passport Covers,13,4,"{""4"":13}"
Pocket Watches,13,4,"{""4"":13}"
Travel Wallets,13,4,"{""4"":13}"
American Football,12,3,"{""3"":12}"
Baseball,12,3,"{""3"":12}"
Beanies & Knit Hats,12,8,"{""8"":12}"
Casual & Dress Socks,12,5,"{""5"":12}"
Cold Weather Headbands,12,5,"{""5"":12}"
Handbag Hangers,12,5,"{""5"":12}"
Identification,12,5,"{""5"":12}"
Jewelry Armoires,12,5,"{""5"":12}"
Mary Jane,12,6,"{""6"":12}"
Motorcycle & Combat,12,5,"{""5"":12}"
Women's Apparel,12,2,"{""2"":12}"
Wrestling,12,5,"{""5"":12}"
Arm Warmers,11,5,"{""5"":11}"
Ball,11,5,"{""5"":11}"
Business Pricing & Quantity Discounts,11,2,"{""2"":11}"
Clearance,11,2,"{""2"":11}"
Compression Shorts,11,6,"{""6"":11}"
Earmuffs,11,"4,5","{""4"":10,""5"":1}"
Fashion-forward finds,11,2,"{""2"":11}"
Football,11,"5,6","{""5"":2,""6"":9}"
Healthcare Uniforms,11,"2,3","{""2"":6,""3"":5}"
Shoe Treatments & Polishes,11,"4,5","{""4"":10,""5"":1}"
Tapers,11,6,"{""6"":11}"
Aprons,10,5,"{""5"":10}"
Backpacking Boots,10,6,"{""6"":10}"
Berets,10,5,"{""5"":10}"
Chef Jackets,10,6,"{""6"":10}"
Collars,10,5,"{""5"":10}"
Faux Body Piercing Jewelry,10,5,"{""5"":10}"
Handkerchiefs,10,4,"{""4"":10}"
Hunting,10,5,"{""5"":10}"
Minimizers,10,7,"{""7"":10}"
School Uniforms,10,"3,4","{""3"":9,""4"":1}"
Snake,10,7,"{""7"":10}"
Training Bras,10,5,"{""5"":10}"
Visors,10,"5,8","{""5"":9,""8"":1}"
Amazon Fashion 3,9,2,"{""2"":9}"
Anoraks,9,6,"{""6"":9}"
Checkbook Covers,9,5,"{""5"":9}"
Garment Bags,9,4,"{""4"":9}"
Pads & Enhancers,9,7,"{""7"":9}"
Suit Separates,9,5,"{""5"":9}"
Watch Winders,9,4,"{""4"":9}"
Wedding Dresses,9,5,"{""5"":9}"
Active Underwear,8,5,"{""5"":8}"
Adhesive Bras,8,7,"{""7"":8}"
Bomber Hats,8,5,"{""5"":8}"
Breeches,8,5,"{""5"":8}"
Bridal Accessories,8,5,"{""5"":8}"
Bridal Veils,8,6,"{""6"":8}"
Cardigan,8,5,"{""5"":8}"
Dress Coats,8,5,"{""5"":8}"
Gym Totes,8,4,"{""4"":8}"
Handbags & Shoulder Bags,8,3,"{""3"":8}"
Ice & Snow Grips,8,4,"{""4"":8}"
Ice Hockey,8,3,"{""3"":8}"
Ice Skating,8,3,"{""3"":8}"
Kids' and Baby Halloween Costumes,8,2,"{""2"":8}"
Kids' Luggage,8,4,"{""4"":8}"
Layette Sets,8,5,"{""5"":8}"
Military & Tactical,8,5,"{""5"":8}"
Pullover,8,5,"{""5"":8}"
Shoe Horns & Boot Jacks,8,4,"{""4"":8}"
Sport Watches,8,2,"{""2"":8}"
Tie Pins,8,4,"{""4"":8}"
Under $30,8,2,"{""2"":8}"
Varsity Jackets,8,6,"{""6"":8}"
Volleyball,8,6,"{""6"":8}"
Athletic & Outdoor,7,5,"{""5"":7}"
Athletic Supporters,7,5,"{""5"":7}"
Cheerleading,7,3,"{""3"":7}"
Cold Weather Scarves,7,5,"{""5"":7}"
Intimates,7,4,"{""4"":7}"
Jewelry Rolls,7,5,"{""5"":7}"
Jiu-Jitsu,7,4,"{""4"":7}"
Luggage Locks,7,4,"{""4"":7}"
Luggage Scales,7,4,"{""4"":7}"
On Sale Now,7,2,"{""2"":7}"
Passport Wallets,7,4,"{""4"":7}"
Tuxedos,7,"5,6","{""5"":6,""6"":1}"
Under $50,7,2,"{""2"":7}"
100% Plus (No Title Match),6,2,"{""2"":6}"
Active Dresses,6,5,"{""5"":6}"
Bib Shorts,6,6,"{""6"":6}"
Bibs,6,6,"{""6"":6}"
"Bloomers, Diaper Covers & Underwear",6,5,"{""5"":6}"
Bolo Ties,6,5,"{""5"":6}"
Boys Athletic,6,3,"{""3"":6}"
Boys' Swimwear,6,3,"{""3"":6}"
Equestrian Sport Boots,6,5,"{""5"":6}"
Full Slips,6,7,"{""7"":6}"
ID Cases,6,6,"{""6"":6}"
Italian Style,6,7,"{""7"":6}"
Kids Shoes,6,2,"{""2"":6}"
Lab Coats,6,6,"{""6"":6}"
Men's Halloween Costumes,6,2,"{""2"":6}"
