line_number,parent_asin,title,category_depth,category_path,categories_json
44,B0C5RK52ML,Silvershake 6MM Cabochon Stones or Inlay 925 Sterling Silver Round Stud Post Earrings Jewelry for Women orTeens,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Stud","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Earrings"", ""Stud""]"
45,B07LBFCFB4,Nike Men's Court Lite 2 Tennis Shoe,5,"Clothing, Shoes & Jewelry > Men > Shoes > Athletic > Tennis & Racquet Sports","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Athletic"", ""Tennis & Racquet Sports""]"
46,B07PH33837,Allsense Men's Long Sleeve Regular Fit Dress Shirts,5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Dress Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""Dress Shirts""]"
47,B00UG8ZH2C,ikiki Squeaky Shoes for Toddlers with On/Off Squeaker Switch,4,"Clothing, Shoes & Jewelry > Girls > Shoes > Sneakers","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Shoes"", ""Sneakers""]"
48,B0B45WQNSC,"HeyNuts Essential Biker Shorts for Women, High Waisted Workout Compression Yoga Shorts 4''/ 6''/ 8''",5,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Shorts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Active"", ""Active Shorts""]"
49,B0BKNQ4L1P,Crocs Unisex-Adult Men's and Women's Baya Graphic Clog,4,"Clothing, Shoes & Jewelry > Women > Shoes > Mules & Clogs","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Mules & Clogs""]"
50,B0BGNR61V1,3D volume & thickening conditioner | amika,2,"Clothing, Shoes & Jewelry > Expert Beauty Trends","[""Clothing, Shoes & Jewelry"", ""Expert Beauty Trends""]"
51,B00MH331BI,Skechers for Work Men's Felton Shoe,4,"Clothing, Shoes & Jewelry > Men > Shoes > Fashion Sneakers","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Fashion Sneakers""]"
52,B093R14VP1,ASICS Men's Gel-Venture 6 MX Running Shoes,6,"Clothing, Shoes & Jewelry > Men > Shoes > Athletic > Running > Trail Running","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Athletic"", ""Running"", ""Trail Running""]"
53,B0BW9JYZS9,Carhartt Men's Loose Fit Midweight Chambray Long-Sleeve Shirt,6,"Clothing, Shoes & Jewelry > Men > Uniforms, Work & Safety > Clothing > Work Utility & Safety > Tops","[""Clothing, Shoes & Jewelry"", ""Men"", ""Uniforms, Work & Safety"", ""Clothing"", ""Work Utility & Safety"", ""Tops""]"
54,B00BCHDM14,Kamik Women's Momentum Snow Boot,5,"Clothing, Shoes & Jewelry > Boot Shop > Women > Outdoor & Work > Snow & Cold Weather","[""Clothing, Shoes & Jewelry"", ""Boot Shop"", ""Women"", ""Outdoor & Work"", ""Snow & Cold Weather""]"
55,B09NNXKKG7,Scurtain Unisex Adults Rubber Sole Slippers,4,"Clothing, Shoes & Jewelry > Women > Shoes > Slippers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Slippers""]"
56,B07K4FX4WZ,Amazon Essentials Men's Slim-Fit Stretch Golf Pant,5,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Golf > Men > Pants","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Golf"", ""Men"", ""Pants""]"
57,B07ZXYSDB1,Geicyjiecy Womens Christmas Mama Bear Shirt Color Block Plaid Crewneck Pullover Sweatshirt Blouse Raglan Tunic Tops,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Blouses & Button-Down Shirts""]"
58,B01INXF758,Victorinox Swiss Army Men's Alliance Chronograph Watch,4,"Clothing, Shoes & Jewelry > Men > Watches > Wrist Watches","[""Clothing, Shoes & Jewelry"", ""Men"", ""Watches"", ""Wrist Watches""]"
59,B0B7J5CBDK,KIWI Shoe Waterproofer Protector,5,"Shoe, Jewelry & Watch Accessories > Shoe Care & Accessories > Shoe Care Treatments & Dyes > Shoe Treatments & Polishes > Water & Stain Treatments","[""Shoe, Jewelry & Watch Accessories"", ""Shoe Care & Accessories"", ""Shoe Care Treatments & Dyes"", ""Shoe Treatments & Polishes"", ""Water & Stain Treatments""]"
60,B09X36FBL8,Ever-Pretty Women's Long Side Slit Glitter Off Shoulder V-Neck Spaghetti Straps Evening Gowns 50088,5,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Formal","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses"", ""Formal""]"
61,B0BK71DBH2,"deBeer Jubilee Style Link Design Watch Band-Choice of Color (Two-Tone, silver, gold)",4,"Clothing, Shoes & Jewelry > Women > Watches > Wrist Watches","[""Clothing, Shoes & Jewelry"", ""Women"", ""Watches"", ""Wrist Watches""]"
62,B09RZSB9M4,DIPUG Ballet Tights for Girls Dance Tights Toddler Ballet Tights Girls Thick Soft Footed Kids Ballet Tights,5,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Dance > Girls > Tights","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Dance"", ""Girls"", ""Tights""]"
63,B09QHC6T6N,Crocs Women's Kadie II Flip Flops,5,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Flip-Flops","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Sandals"", ""Flip-Flops""]"
64,B08Y8ZJJC1,LONGYUAN Womens Long Sleeve Fashion Tunic Tops Casual Vneck Shirts Dressy Blouses,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Tunics","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Tunics""]"
65,B0735V67KT,"Fruit of the Loom mens Cushioned Durable Cotton Work Gear With Moisture Wicking Casual Sock, White, 6-12 US(Pack of 10)",5,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Athletic Socks","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Active"", ""Athletic Socks""]"
66,B0C5TKHCRK,Riviera Sun Dress Dresses for Women,4,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses""]"
67,B07F2QVFBZ,"PUMA Unisex Turin Sneaker, white-white, 7 M US Big Kid",4,"Clothing, Shoes & Jewelry > Girls > Shoes > Sneakers","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Shoes"", ""Sneakers""]"
68,B0058BKXP8,Rubie's Costume Baby Skeleton Romper Costume,5,"Clothing, Shoes & Jewelry > Costumes & Accessories > Kids & Baby > Baby > Baby Boys","[""Clothing, Shoes & Jewelry"", ""Costumes & Accessories"", ""Kids & Baby"", ""Baby"", ""Baby Boys""]"
69,B0BRXPDGDC,HISDERN Bow Ties for Men Solid Color Self Tie Bow Tie Pocket Square Set Classic Formal Satin Bowties for Tuxedo Wedding Party,5,"Clothing, Shoes & Jewelry > Men > Accessories > Ties, Cummerbunds & Pocket Squares > Tie Sets","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Ties, Cummerbunds & Pocket Squares"", ""Tie Sets""]"
70,B08GPJY45B,NACHILA Women's Bamboo Viscose T-Shirt Soft Short Sleeve Lounge Top Casual Pajamas Tops Stretch Pjs Shirt S-XL,6,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Sleep & Lounge > Tops","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Lingerie, Sleep & Lounge"", ""Sleep & Lounge"", ""Tops""]"
71,B07MZS3MTQ,VANDIMI Soccer Socks for Kids Youth Adult (1/3/4/5 pairs) Team Sport Knee High Long Socks,2,"Clothing, Shoes & Jewelry > Boys","[""Clothing, Shoes & Jewelry"", ""Boys""]"
72,B07BVBJX79,Tri-Mountain 100% Cotton Denim Shirt - 829 Pioneer,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Polos","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Polos""]"
73,B098CPN9MK,"Clarks Women's Knit Scuff Leather Slipper Mules Sweater Cuff Clog (7, Brown)",4,"Clothing, Shoes & Jewelry > Women > Shoes > Slippers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Slippers""]"
74,B094NC7LGG,"Loungefly Women's American, White",4,"Clothing, Shoes & Jewelry > Luggage & Travel Gear > Backpacks > Casual Daypacks","[""Clothing, Shoes & Jewelry"", ""Luggage & Travel Gear"", ""Backpacks"", ""Casual Daypacks""]"
75,B09MKL5TBK,"BALEAF Womens' 7"" Long Running Athletic Shorts with Liner Workout Zipper Pocket",5,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Running > Women > Shorts","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Running"", ""Women"", ""Shorts""]"
76,B085RX192V,Crocs Women’s Freesail Clog,4,"Clothing, Shoes & Jewelry > Women > Shoes > Mules & Clogs","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Mules & Clogs""]"
77,B0BM9LZNJB,WAINIS 27Pcs Delicate Boho Beaded Bracelet Multi Layer Versatile Statement Bracelets Stackable stretch Cuff Sparkly Glass Crystal Beads bracelets,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Bracelets > Stretch","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Bracelets"", ""Stretch""]"
78,B0BLRY959B,SWEETXIN Adult Unisex Onesie Pajamas Halloween Christmas Sleepwear Jumpsuit Cosplay Costume,7,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Sleep & Lounge > One-Piece Pajamas","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Women"", ""Sleep & Lounge"", ""One-Piece Pajamas""]"
79,B07S7CWLPQ,FREE SOLDIER Men's Cargo Shorts with Belt Lightweight Breathable Quick Dry Hiking Tactical Shorts Nylon Spandex,5,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Hiking & Outdoor Recreation > Men > Shorts","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Hiking & Outdoor Recreation"", ""Men"", ""Shorts""]"
80,B00UP6AG6W,The Cat in the Hat Costume Kids' Socks - ST,5,"Clothing, Shoes & Jewelry > Costumes & Accessories > Kids & Baby > Girls > Accessories","[""Clothing, Shoes & Jewelry"", ""Costumes & Accessories"", ""Kids & Baby"", ""Girls"", ""Accessories""]"
81,B0794VPVBH,NY Threads Luxurious Mens Shawl Collar Fleece Bathrobe Spa Robe,5,"Clothing, Shoes & Jewelry > Men > Clothing > Sleep & Lounge > Robes","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Sleep & Lounge"", ""Robes""]"
82,B08WNSM4KN,Salomon Men's Speedcross 5 Trail Running Shoes,6,"Clothing, Shoes & Jewelry > Men > Shoes > Athletic > Running > Trail Running","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Athletic"", ""Running"", ""Trail Running""]"
83,B07GJXPGC9,Spring Notion Men's Solid Color Satin Microfiber Tie and Handkerchief Set,5,"Clothing, Shoes & Jewelry > Men > Accessories > Ties, Cummerbunds & Pocket Squares > Tie Sets","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Ties, Cummerbunds & Pocket Squares"", ""Tie Sets""]"
84,B07CNJMCMF,Compression Lightweight Sport Running Gloves Liner Gloves- Black - Men & Women,5,"Clothing, Shoes & Jewelry > Men > Accessories > Gloves & Mittens > Cold Weather Gloves","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Gloves & Mittens"", ""Cold Weather Gloves""]"
85,B0BXXH77N8,"Jerzees Men's Short Sleeve Polo Shirts, SpotShield Stain Resistant, Sizes S-5X",5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Polos","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""Polos""]"
86,B094S49FB2,ZOOGS Printed Kids Toddler Rain Boots for Girls,4,"Clothing, Shoes & Jewelry > Girls > Shoes > Boots","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Shoes"", ""Boots""]"
87,B083G34TB8,Scala Women's Cotton Big Brim Hat with Inner Drawstring & UPF 50+ Rating,5,"Clothing, Shoes & Jewelry > Women > Accessories > Hats & Caps > Sun Hats","[""Clothing, Shoes & Jewelry"", ""Women"", ""Accessories"", ""Hats & Caps"", ""Sun Hats""]"
88,B09PBRSYYQ,Paz Creations 925 Sterling Silver Spinner Rings for Women With Natural Gemstones - Hammered Pattern Thick Band - Handcrafted Artisan Jewelry - Fidget Rings - Gift For Her,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Rings > Bands","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Rings"", ""Bands""]"
89,B09PZH1MRM,LONECONE Unisex Toddler Sneakers and Kids' Sneakers in 7 Fun Patterns,4,"Clothing, Shoes & Jewelry > Girls > Shoes > Sneakers","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Shoes"", ""Sneakers""]"
90,B072F2ZSKS,"Sterling Silver Freshwater Cultured Shell Pearl Earrings (8mm) | Trendy & Elegant Earrings For Women & Girls | Chic &Sparkling Design, Unique Gift Idea, Perfect For Casual & Special Occasions",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Ball","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Earrings"", ""Ball""]"
91,B00IMV2YR6,VOBAGA Women's Black White Stripe Pattern Printed Loose Batwing Chiffon Blouse T-Shirt L,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Blouses & Button-Down Shirts""]"
92,B091F4M4W1,DREAM PAIRS Boys Girls Outdoor Soccer Cleats Football Shoes,5,"Clothing, Shoes & Jewelry > Boys > Shoes > Athletic > Soccer","[""Clothing, Shoes & Jewelry"", ""Boys"", ""Shoes"", ""Athletic"", ""Soccer""]"
