sample_id,scenario_type,turn,disclosed_constraint_count,override_applied,agent_query,latest_message,target_asin,evaluation_mode,latest_message_bm25_rank,stateful_bm25_rank,exact_phrase_rank,field_aware_bm25_rank,dense_rank,hybrid_rrf_rank
public_0002,intent_override,6,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,I don't have an additional preference for other.,B071X54486,agent_realistic,15512,69,2,52,7,12
public_0002,intent_override,7,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,I don't have an additional preference for other.,B071X54486,agent_realistic,15512,69,2,52,7,12
public_0002,intent_override,8,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,I don't have an additional preference for other.,B071X54486,agent_realistic,15512,69,2,52,7,12
public_0002,intent_override,9,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,I don't have an additional preference for other.,B071X54486,agent_realistic,15512,69,2,52,7,12
public_0002,intent_override,10,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,I don't have an additional preference for other.,B071X54486,agent_realistic,15512,69,2,52,7,12
public_0003,intent_override,1,0,False,Watches Wrist Watches Stainless Steel Band,I'm looking for Watches Wrist Watches. Stainless Steel Band,B09YMTWDXJ,agent_realistic,289,292,70,110,709,213
public_0003,intent_override,2,2,False,Watches Wrist Watches Stainless Steel Band Water Resistant 3 Year Battery,"For that, what matters is: Water Resistant; 3 Year Battery.",B09YMTWDXJ,agent_realistic,39,21,1,17,127,26
public_0003,intent_override,3,2,True,Watches Wrist Watches Water Resistant 3 Year Battery,"Actually, ignore my earlier preference. What I need is: Water Resistant.",B09YMTWDXJ,agent_realistic,1542,19,1,16,126,23
public_0003,intent_override,4,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,"For that, what matters is: Day / Date Indicator; Stainless Steel Band.",B09YMTWDXJ,agent_realistic,12,4,1,8,99,18
public_0003,intent_override,5,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,I don't have an additional preference for other.,B09YMTWDXJ,agent_realistic,27596,4,1,8,99,18
public_0003,intent_override,6,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,I don't have an additional preference for other.,B09YMTWDXJ,agent_realistic,27596,4,1,8,99,18
public_0003,intent_override,7,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,I don't have an additional preference for other.,B09YMTWDXJ,agent_realistic,27596,4,1,8,99,18
public_0003,intent_override,8,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,I don't have an additional preference for other.,B09YMTWDXJ,agent_realistic,27596,4,1,8,99,18
public_0003,intent_override,9,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,I don't have an additional preference for other.,B09YMTWDXJ,agent_realistic,27596,4,1,8,99,18
public_0003,intent_override,10,4,True,Watches Wrist Watches Water Resistant 3 Year Battery Day / Date Indicator Stainless Steel Band,I don't have an additional preference for other.,B09YMTWDXJ,agent_realistic,27596,4,1,8,99,18
public_0004,intent_override,1,0,False,Tops & Tees Tanks & Camis Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,I'm looking for Tops & Tees Tanks & Camis. Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,B07C2XPZ6D,agent_realistic,1,1,1,1,39,5
public_0004,intent_override,2,2,False,"Tops & Tees Tanks & Camis Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit polyester Polyester,Cotton,Spandex","For that, what matters is: polyester; Polyester,Cotton,Spandex.",B07C2XPZ6D,agent_realistic,380,1,1,1,22,4
public_0004,intent_override,3,2,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex","Actually, ignore my earlier preference. What I need is: polyester.",B07C2XPZ6D,agent_realistic,1891,377,1,304,377,293
public_0004,intent_override,4,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit","For that, what matters is: Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex; Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit.",B07C2XPZ6D,agent_realistic,1,1,1,1,21,2
public_0004,intent_override,5,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit",I don't have an additional preference for other.,B07C2XPZ6D,agent_realistic,1530,1,1,1,21,2
public_0004,intent_override,6,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit",I don't have an additional preference for other.,B07C2XPZ6D,agent_realistic,1530,1,1,1,21,2
public_0004,intent_override,7,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit",I don't have an additional preference for other.,B07C2XPZ6D,agent_realistic,1530,1,1,1,21,2
public_0004,intent_override,8,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit",I don't have an additional preference for other.,B07C2XPZ6D,agent_realistic,1530,1,1,1,21,2
public_0004,intent_override,9,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit",I don't have an additional preference for other.,B07C2XPZ6D,agent_realistic,1530,1,1,1,21,2
public_0004,intent_override,10,4,True,"Tops & Tees Tanks & Camis polyester Polyester,Cotton,Spandex Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit",I don't have an additional preference for other.,B07C2XPZ6D,agent_realistic,1530,1,1,1,21,2
public_0005,buying,1,1,True,Outdoor & Work Snow & Cold Weather leather,I'm looking for Outdoor & Work Snow & Cold Weather. A key requirement is: leather.,B074G1JP8Z,agent_realistic,37,38,14,28,68,32
public_0005,buying,2,3,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch","For that, what matters is: Rubber sole; Shaft measures approximately 8.37"" from arch.",B074G1JP8Z,agent_realistic,1098,22,1,32,101,37
public_0005,buying,3,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long","For that, what matters is: Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long.",B074G1JP8Z,agent_realistic,1,1,1,3,3,1
public_0005,buying,4,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0005,buying,5,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0005,buying,6,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0005,buying,7,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0005,buying,8,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0005,buying,9,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0005,buying,10,4,True,"Outdoor & Work Snow & Cold Weather leather Rubber sole Shaft measures approximately 8.37"" from arch Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long",I don't have an additional preference for other.,B074G1JP8Z,agent_realistic,20842,1,1,3,3,1
public_0006,browsing,1,0,True,Basketball Men,"I'm looking for Basketball Men, but I'm still exploring.",B071F2Z7JG,agent_realistic,188,101,5,16,49,22
public_0006,browsing,2,2,True,Basketball Men polyester 100% Polyester,"For that, what matters is: polyester; 100% Polyester.",B071F2Z7JG,agent_realistic,14821,25,7,11,4,1
public_0006,browsing,3,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,"For that, what matters is: Drawstring closure; High quality mesh for maximum breathability to keep you cool.",B071F2Z7JG,agent_realistic,3,1,1,1,1,1
public_0006,browsing,4,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0006,browsing,5,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0006,browsing,6,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0006,browsing,7,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0006,browsing,8,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0006,browsing,9,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0006,browsing,10,4,True,Basketball Men polyester 100% Polyester Drawstring closure High quality mesh for maximum breathability to keep you cool,I don't have an additional preference for other.,B071F2Z7JG,agent_realistic,27711,1,1,1,1,1
public_0007,browsing,1,0,True,Tees & Blouses Tunics,"I'm looking for Tees & Blouses Tunics, but I'm still exploring.",B08PF98BV4,agent_realistic,276,246,67,24,1096,82
public_0007,browsing,2,2,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex","For that, what matters is: polyester; 75% Polyester, 20% Rayon, 5% Spandex.",B08PF98BV4,agent_realistic,15,2,1,15,433,37
public_0007,browsing,3,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure","For that, what matters is: Imported; Pull On closure.",B08PF98BV4,agent_realistic,6633,2,1,13,751,34
public_0007,browsing,4,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0007,browsing,5,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0007,browsing,6,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0007,browsing,7,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0007,browsing,8,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0007,browsing,9,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0007,browsing,10,4,True,"Tees & Blouses Tunics polyester 75% Polyester, 20% Rayon, 5% Spandex Imported Pull On closure",I don't have an additional preference for other.,B08PF98BV4,agent_realistic,12608,2,1,13,751,34
public_0008,buying,1,1,True,Bras Everyday Bras nylon,I'm looking for Bras Everyday Bras. A key requirement is: nylon.,B0BPCC1KBT,agent_realistic,116,137,21,48,55,34
public_0008,buying,2,3,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure","For that, what matters is: 96% Nylon, 4% Spandex; Pull-On closure.",B0BPCC1KBT,agent_realistic,26,27,2,31,25,12
public_0008,buying,3,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only","For that, what matters is: Hand Wash Only.",B0BPCC1KBT,agent_realistic,2420,35,1,31,16,9
public_0008,buying,4,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0008,buying,5,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0008,buying,6,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0008,buying,7,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0008,buying,8,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0008,buying,9,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0008,buying,10,4,True,"Bras Everyday Bras nylon 96% Nylon, 4% Spandex Pull-On closure Hand Wash Only",I don't have an additional preference for other.,B0BPCC1KBT,agent_realistic,13115,35,1,31,16,9
public_0009,buying,1,1,True,Handbags & Wallets Totes leather,I'm looking for Handbags & Wallets Totes. A key requirement is: leather.,B07GXHPWTJ,agent_realistic,187,183,30,26,338,63
public_0009,buying,2,3,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported,"For that, what matters is: Soft Washed PU Leather with Convenient side Pockets; Imported.",B07GXHPWTJ,agent_realistic,1,1,1,1,290,30
public_0009,buying,3,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,"For that, what matters is: Adjustable and Removable Shoulder Strap.",B07GXHPWTJ,agent_realistic,4,1,1,2,201,30
public_0009,buying,4,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0009,buying,5,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0009,buying,6,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0009,buying,7,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0009,buying,8,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0009,buying,9,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0009,buying,10,4,True,Handbags & Wallets Totes leather Soft Washed PU Leather with Convenient side Pockets Imported Adjustable and Removable Shoulder Strap,I don't have an additional preference for other.,B07GXHPWTJ,agent_realistic,14019,1,1,2,201,30
public_0010,buying,1,1,True,Women Bodysuits fabric,I'm looking for Women Bodysuits. A key requirement is: fabric.,B0929KL5W7,agent_realistic,11,2,1649,41,2405,89
public_0010,buying,2,3,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported","For that, what matters is: Stretchy fabric: 95% modal, 5% spandex; Imported.",B0929KL5W7,agent_realistic,8,1,1,12,1604,46
public_0010,buying,3,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure","For that, what matters is: Snap closure.",B0929KL5W7,agent_realistic,345,1,1,5,604,14
public_0010,buying,4,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0010,buying,5,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0010,buying,6,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0010,buying,7,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0010,buying,8,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0010,buying,9,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0010,buying,10,4,True,"Women Bodysuits fabric Stretchy fabric: 95% modal, 5% spandex Imported Snap closure",I don't have an additional preference for other.,B0929KL5W7,agent_realistic,3250,1,1,5,604,14
public_0011,browsing,1,0,True,Underwear Undershirts,"I'm looking for Underwear Undershirts, but I'm still exploring.",B0BXP6MG3X,agent_realistic,20,24,4,8,4,1
public_0011,browsing,2,2,True,Underwear Undershirts cotton 100% Cotton,"For that, what matters is: cotton; 100% Cotton.",B0BXP6MG3X,agent_realistic,618,14,2,7,9,1
public_0011,browsing,3,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,"For that, what matters is: Imported; undershirts closure.",B0BXP6MG3X,agent_realistic,5,14,1,7,1,1
public_0011,browsing,4,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0011,browsing,5,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0011,browsing,6,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0011,browsing,7,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0011,browsing,8,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0011,browsing,9,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0011,browsing,10,4,True,Underwear Undershirts cotton 100% Cotton Imported undershirts closure,I don't have an additional preference for other.,B0BXP6MG3X,agent_realistic,14971,14,1,7,1,1
public_0012,browsing,1,0,True,Women Dresses,"I'm looking for Women Dresses, but I'm still exploring.",B08FFGQF72,agent_realistic,4231,2048,20017,2991,4326,not_retrieved
