path,depth,parent_path,category,product_count,terminal_product_count
"Clothing, Shoes & Jewelry > Everyday Apparel Essentials",2,"Clothing, Shoes & Jewelry",Everyday Apparel Essentials,20,20
"Clothing, Shoes & Jewelry > Expert Beauty Trends",2,"Clothing, Shoes & Jewelry",Expert Beauty Trends,1,1
"Clothing, Shoes & Jewelry > Fall-Ready Shirtdresses",2,"Clothing, Shoes & Jewelry",Fall-Ready Shirtdresses,1,1
"Clothing, Shoes & Jewelry > Family Athleisure",2,"Clothing, Shoes & Jewelry",Family Athleisure,1,1
"Clothing, Shoes & Jewelry > Fashion Gift Guide: For the Master of Make-Believe",2,"Clothing, Shoes & Jewelry",Fashion Gift Guide: For the Master of Make-Believe,1,1
"Clothing, Shoes & Jewelry > Fashion Watches",2,"Clothing, Shoes & Jewelry",Fashion Watches,2,2
"Clothing, Shoes & Jewelry > Fashion-forward finds",2,"Clothing, Shoes & Jewelry",Fashion-forward finds,11,11
"Clothing, Shoes & Jewelry > Feminine Spring Blouses",2,"Clothing, Shoes & Jewelry",Feminine Spring Blouses,1,1
"Clothing, Shoes & Jewelry > Fine Jewelry for Women",2,"Clothing, Shoes & Jewelry",Fine Jewelry for Women,1,1
"Clothing, Shoes & Jewelry > Free One-Day Shipping on Jewelry, Watches, & More",2,"Clothing, Shoes & Jewelry","Free One-Day Shipping on Jewelry, Watches, & More",1,1
"Clothing, Shoes & Jewelry > Fun World Costumes",2,"Clothing, Shoes & Jewelry",Fun World Costumes,2,2
"Clothing, Shoes & Jewelry > Gemstones",2,"Clothing, Shoes & Jewelry",Gemstones,5,5
"Clothing, Shoes & Jewelry > Girls",2,"Clothing, Shoes & Jewelry",Girls,1716,42
"Clothing, Shoes & Jewelry > Girls Apparel",2,"Clothing, Shoes & Jewelry",Girls Apparel,3,0
"Clothing, Shoes & Jewelry > Girls' School Essentials",2,"Clothing, Shoes & Jewelry",Girls' School Essentials,1,1
"Clothing, Shoes & Jewelry > Girls' Sneakers under $35",2,"Clothing, Shoes & Jewelry",Girls' Sneakers under $35,1,1
"Clothing, Shoes & Jewelry > Graduation Cohort 1 - Daily",2,"Clothing, Shoes & Jewelry",Graduation Cohort 1 - Daily,1,1
"Clothing, Shoes & Jewelry > Graduation Cohort 4 - Daily",2,"Clothing, Shoes & Jewelry",Graduation Cohort 4 - Daily,19,19
"Clothing, Shoes & Jewelry > Green Lit 197",2,"Clothing, Shoes & Jewelry",Green Lit 197,2,2
"Clothing, Shoes & Jewelry > Green Lit 241",2,"Clothing, Shoes & Jewelry",Green Lit 241,3,3
"Clothing, Shoes & Jewelry > Green Lit 641",2,"Clothing, Shoes & Jewelry",Green Lit 641,2,2
"Clothing, Shoes & Jewelry > Green Monday | 30% Off for Men",2,"Clothing, Shoes & Jewelry",Green Monday | 30% Off for Men,3,3
"Clothing, Shoes & Jewelry > Green Monday | 30% Off for Women",2,"Clothing, Shoes & Jewelry",Green Monday | 30% Off for Women,3,3
"Clothing, Shoes & Jewelry > HG Frequent Plus 4+ Stars",2,"Clothing, Shoes & Jewelry",HG Frequent Plus 4+ Stars,1,1
"Clothing, Shoes & Jewelry > Handbags Under $30",2,"Clothing, Shoes & Jewelry",Handbags Under $30,3,3
"Clothing, Shoes & Jewelry > Healthcare Uniforms",2,"Clothing, Shoes & Jewelry",Healthcare Uniforms,6,1
"Clothing, Shoes & Jewelry > Holiday Together: Holiday Happy",2,"Clothing, Shoes & Jewelry",Holiday Together: Holiday Happy,1,1
"Clothing, Shoes & Jewelry > Kids Activewear",2,"Clothing, Shoes & Jewelry",Kids Activewear,4,0
"Clothing, Shoes & Jewelry > Kids Apparel",2,"Clothing, Shoes & Jewelry",Kids Apparel,1,0
"Clothing, Shoes & Jewelry > Kids Shoes",2,"Clothing, Shoes & Jewelry",Kids Shoes,6,0
"Clothing, Shoes & Jewelry > Kids Shoes Union",2,"Clothing, Shoes & Jewelry",Kids Shoes Union,36,0
"Clothing, Shoes & Jewelry > Kids Sleepwear & Robes",2,"Clothing, Shoes & Jewelry",Kids Sleepwear & Robes,1,0
"Clothing, Shoes & Jewelry > Kids Sweaters",2,"Clothing, Shoes & Jewelry",Kids Sweaters,1,0
"Clothing, Shoes & Jewelry > Kids Swimwear",2,"Clothing, Shoes & Jewelry",Kids Swimwear,2,0
"Clothing, Shoes & Jewelry > Kids' Clothing",2,"Clothing, Shoes & Jewelry",Kids' Clothing,2,0
"Clothing, Shoes & Jewelry > Kids' Shoes Markdown",2,"Clothing, Shoes & Jewelry",Kids' Shoes Markdown,2,2
"Clothing, Shoes & Jewelry > Kids' Watches",2,"Clothing, Shoes & Jewelry",Kids' Watches,2,0
"Clothing, Shoes & Jewelry > Kids' and Baby Halloween Costumes",2,"Clothing, Shoes & Jewelry",Kids' and Baby Halloween Costumes,8,8
"Clothing, Shoes & Jewelry > Lee Lowest Prices Of The Season",2,"Clothing, Shoes & Jewelry",Lee Lowest Prices Of The Season,1,1
"Clothing, Shoes & Jewelry > Lingerie Semi-Annual Savings",2,"Clothing, Shoes & Jewelry",Lingerie Semi-Annual Savings,3,3
"Clothing, Shoes & Jewelry > Luggage & Travel Gear",2,"Clothing, Shoes & Jewelry",Luggage & Travel Gear,976,23
"Clothing, Shoes & Jewelry > MFN ONLY V2",2,"Clothing, Shoes & Jewelry",MFN ONLY V2,18,18
"Clothing, Shoes & Jewelry > MFN Only",2,"Clothing, Shoes & Jewelry",MFN Only,4,4
"Clothing, Shoes & Jewelry > Made in USA",2,"Clothing, Shoes & Jewelry",Made in USA,1,1
"Clothing, Shoes & Jewelry > Markdowns",2,"Clothing, Shoes & Jewelry",Markdowns,4,4
"Clothing, Shoes & Jewelry > Memorial Day Savings 2016",2,"Clothing, Shoes & Jewelry",Memorial Day Savings 2016,1,1
"Clothing, Shoes & Jewelry > Men",2,"Clothing, Shoes & Jewelry",Men,9901,121
"Clothing, Shoes & Jewelry > Men's Action Sport Watches",2,"Clothing, Shoes & Jewelry",Men's Action Sport Watches,1,1
"Clothing, Shoes & Jewelry > Men's Activewear: Bottoms",2,"Clothing, Shoes & Jewelry",Men's Activewear: Bottoms,1,1
"Clothing, Shoes & Jewelry > Men's Denim Updates",2,"Clothing, Shoes & Jewelry",Men's Denim Updates,1,1
"Clothing, Shoes & Jewelry > Men's Halloween Costumes",2,"Clothing, Shoes & Jewelry",Men's Halloween Costumes,6,6
"Clothing, Shoes & Jewelry > Men's Off-to-College Essentials",2,"Clothing, Shoes & Jewelry",Men's Off-to-College Essentials,1,1
"Clothing, Shoes & Jewelry > Men's Outerwear: Parka",2,"Clothing, Shoes & Jewelry",Men's Outerwear: Parka,1,1
"Clothing, Shoes & Jewelry > Men's Shorts Under $25 - Prod",2,"Clothing, Shoes & Jewelry",Men's Shorts Under $25 - Prod,1,1
"Clothing, Shoes & Jewelry > Men's Slippers Under $40",2,"Clothing, Shoes & Jewelry",Men's Slippers Under $40,1,1
"Clothing, Shoes & Jewelry > Men's Watches Under $50",2,"Clothing, Shoes & Jewelry",Men's Watches Under $50,5,5
"Clothing, Shoes & Jewelry > Most Gifted Styles",2,"Clothing, Shoes & Jewelry",Most Gifted Styles,1,1
"Clothing, Shoes & Jewelry > Motorcycle & ATV Casual Footwear",2,"Clothing, Shoes & Jewelry",Motorcycle & ATV Casual Footwear,6,0
"Clothing, Shoes & Jewelry > Motorcycle & ATV Casual Wear",2,"Clothing, Shoes & Jewelry",Motorcycle & ATV Casual Wear,2,0
"Clothing, Shoes & Jewelry > Must See Deals",2,"Clothing, Shoes & Jewelry",Must See Deals,1,1
"Clothing, Shoes & Jewelry > New Looks from Prime Wardrobe",2,"Clothing, Shoes & Jewelry",New Looks from Prime Wardrobe,2,2
"Clothing, Shoes & Jewelry > Not-Your-Mother's Cableknit",2,"Clothing, Shoes & Jewelry",Not-Your-Mother's Cableknit,1,1
"Clothing, Shoes & Jewelry > Novelty & More",2,"Clothing, Shoes & Jewelry",Novelty & More,3376,13
"Clothing, Shoes & Jewelry > Off to College Fashion",2,"Clothing, Shoes & Jewelry",Off to College Fashion,1,1
"Clothing, Shoes & Jewelry > Old Glory Exclusives",2,"Clothing, Shoes & Jewelry",Old Glory Exclusives,1,1
"Clothing, Shoes & Jewelry > On Sale Now",2,"Clothing, Shoes & Jewelry",On Sale Now,7,7
"Clothing, Shoes & Jewelry > Over $50",2,"Clothing, Shoes & Jewelry",Over $50,1,1
"Clothing, Shoes & Jewelry > PD23_All fashion deals running on all of lead up v5",2,"Clothing, Shoes & Jewelry",PD23_All fashion deals running on all of lead up v5,1,1
"Clothing, Shoes & Jewelry > PP Boots Under $75",2,"Clothing, Shoes & Jewelry",PP Boots Under $75,1,1
"Clothing, Shoes & Jewelry > PP Slippers Under $40",2,"Clothing, Shoes & Jewelry",PP Slippers Under $40,1,1
"Clothing, Shoes & Jewelry > Pajamas, Loungewear & More",2,"Clothing, Shoes & Jewelry","Pajamas, Loungewear & More",1,1
"Clothing, Shoes & Jewelry > PattyBoutik Apparel",2,"Clothing, Shoes & Jewelry",PattyBoutik Apparel,16,16
"Clothing, Shoes & Jewelry > Plain Silver Jewelry",2,"Clothing, Shoes & Jewelry",Plain Silver Jewelry,1,1
"Clothing, Shoes & Jewelry > Plus-Size Fashion",2,"Clothing, Shoes & Jewelry",Plus-Size Fashion,29,29
"Clothing, Shoes & Jewelry > Premium Fashion Testing",2,"Clothing, Shoes & Jewelry",Premium Fashion Testing,2,2
"Clothing, Shoes & Jewelry > Premium Tops",2,"Clothing, Shoes & Jewelry",Premium Tops,1,1
"Clothing, Shoes & Jewelry > Pretty Winter Floral Prints",2,"Clothing, Shoes & Jewelry",Pretty Winter Floral Prints,1,1
"Clothing, Shoes & Jewelry > Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby",2,"Clothing, Shoes & Jewelry","Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby",5,5
"Clothing, Shoes & Jewelry > Prime Day: 30% off select fashion",2,"Clothing, Shoes & Jewelry",Prime Day: 30% off select fashion,2,2
"Clothing, Shoes & Jewelry > Prime Wardrobe: Columbia Try Before You Buy",2,"Clothing, Shoes & Jewelry",Prime Wardrobe: Columbia Try Before You Buy,3,3
"Clothing, Shoes & Jewelry > Prime Wardrobe: Levi's Try Before You Buy",2,"Clothing, Shoes & Jewelry",Prime Wardrobe: Levi's Try Before You Buy,1,1
"Clothing, Shoes & Jewelry > Prime Wardrobe: New Arrivals",2,"Clothing, Shoes & Jewelry",Prime Wardrobe: New Arrivals,1,1
"Clothing, Shoes & Jewelry > Prime Wardrobe: Under Armour",2,"Clothing, Shoes & Jewelry",Prime Wardrobe: Under Armour,1,1
"Clothing, Shoes & Jewelry > Prom",2,"Clothing, Shoes & Jewelry",Prom,1,0
"Clothing, Shoes & Jewelry > Prom- Dresses",2,"Clothing, Shoes & Jewelry",Prom- Dresses,1,1
"Clothing, Shoes & Jewelry > Restaurant Store",2,"Clothing, Shoes & Jewelry",Restaurant Store,2,0
"Clothing, Shoes & Jewelry > Rhinestones earrings",2,"Clothing, Shoes & Jewelry",Rhinestones earrings,1,1
"Clothing, Shoes & Jewelry > Save up to X% on Burt's Bees",2,"Clothing, Shoes & Jewelry",Save up to X% on Burt's Bees,1,1
"Clothing, Shoes & Jewelry > Shirts Under $30",2,"Clothing, Shoes & Jewelry",Shirts Under $30,2,2
"Clothing, Shoes & Jewelry > Shoe, Jewelry & Watch Accessories",2,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories",436,1
"Clothing, Shoes & Jewelry > Shop Your Style: Classic",2,"Clothing, Shoes & Jewelry",Shop Your Style: Classic,1,1
"Clothing, Shoes & Jewelry > Shop by Designer",2,"Clothing, Shoes & Jewelry",Shop by Designer,3,3
"Clothing, Shoes & Jewelry > Shop by Occasion for Her: Vacation",2,"Clothing, Shoes & Jewelry",Shop by Occasion for Her: Vacation,1,1
"Clothing, Shoes & Jewelry > Shopbop September 2019 EOTS",2,"Clothing, Shoes & Jewelry",Shopbop September 2019 EOTS,1,1
"Clothing, Shoes & Jewelry > Splurgeworthy Womens Shoes",2,"Clothing, Shoes & Jewelry",Splurgeworthy Womens Shoes,2,2
"Clothing, Shoes & Jewelry > Sport Specific Clothing",2,"Clothing, Shoes & Jewelry",Sport Specific Clothing,1114,7
"Clothing, Shoes & Jewelry > Sport Watches",2,"Clothing, Shoes & Jewelry",Sport Watches,8,8
"Clothing, Shoes & Jewelry > Street, Surf & Skate",2,"Clothing, Shoes & Jewelry","Street, Surf & Skate",3,3
"Clothing, Shoes & Jewelry > Students' Top Rated",2,"Clothing, Shoes & Jewelry",Students' Top Rated,1,1
"Clothing, Shoes & Jewelry > Sunglasses Starting at $15",2,"Clothing, Shoes & Jewelry",Sunglasses Starting at $15,1,1
"Clothing, Shoes & Jewelry > Swimwear TEST",2,"Clothing, Shoes & Jewelry",Swimwear TEST,29,0
"Clothing, Shoes & Jewelry > Tactical boots",2,"Clothing, Shoes & Jewelry",Tactical boots,1,1
"Clothing, Shoes & Jewelry > Take 25% Off | Holiday Savings for Women",2,"Clothing, Shoes & Jewelry",Take 25% Off | Holiday Savings for Women,1,1
"Clothing, Shoes & Jewelry > Tees & Tops for College under $25",2,"Clothing, Shoes & Jewelry",Tees & Tops for College under $25,2,2
"Clothing, Shoes & Jewelry > Test Color",2,"Clothing, Shoes & Jewelry",Test Color,5,5
"Clothing, Shoes & Jewelry > The Women's Warm-Weather Edit",2,"Clothing, Shoes & Jewelry",The Women's Warm-Weather Edit,1,1
"Clothing, Shoes & Jewelry > Toddler Size 6",2,"Clothing, Shoes & Jewelry",Toddler Size 6,1,1
"Clothing, Shoes & Jewelry > Toddler Size 7",2,"Clothing, Shoes & Jewelry",Toddler Size 7,1,1
"Clothing, Shoes & Jewelry > Toddler Size 8",2,"Clothing, Shoes & Jewelry",Toddler Size 8,1,1
"Clothing, Shoes & Jewelry > Toddler Test",2,"Clothing, Shoes & Jewelry",Toddler Test,48,0
"Clothing, Shoes & Jewelry > Top 1,000 3P ASINs Under $15",2,"Clothing, Shoes & Jewelry","Top 1,000 3P ASINs Under $15",2,2
"Clothing, Shoes & Jewelry > Top 50 by Product Type",2,"Clothing, Shoes & Jewelry",Top 50 by Product Type,32,32
"Clothing, Shoes & Jewelry > Top Brands Under $149",2,"Clothing, Shoes & Jewelry",Top Brands Under $149,1,1
"Clothing, Shoes & Jewelry > Top Gifts for the Family: Colorful Crocs",2,"Clothing, Shoes & Jewelry",Top Gifts for the Family: Colorful Crocs,1,1
"Clothing, Shoes & Jewelry > Top Rated Fashion Capital Favorites",2,"Clothing, Shoes & Jewelry",Top Rated Fashion Capital Favorites,1,1
"Clothing, Shoes & Jewelry > TurboTax Refund Bonus Exclusive: 20% Off Select Shoes",2,"Clothing, Shoes & Jewelry",TurboTax Refund Bonus Exclusive: 20% Off Select Shoes,1,1
"Clothing, Shoes & Jewelry > Ugly Holiday Sweaters (and More) for the Family",2,"Clothing, Shoes & Jewelry",Ugly Holiday Sweaters (and More) for the Family,2,2
"Clothing, Shoes & Jewelry > Under $30",2,"Clothing, Shoes & Jewelry",Under $30,8,8
"Clothing, Shoes & Jewelry > Under $50",2,"Clothing, Shoes & Jewelry",Under $50,7,7
"Clothing, Shoes & Jewelry > Uniforms, Work & Safety",2,"Clothing, Shoes & Jewelry","Uniforms, Work & Safety",31,0
"Clothing, Shoes & Jewelry > Unisex Baby Clothing",2,"Clothing, Shoes & Jewelry",Unisex Baby Clothing,4,0
"Clothing, Shoes & Jewelry > Up to 20% Off Select Jewelry & Watches",2,"Clothing, Shoes & Jewelry",Up to 20% Off Select Jewelry & Watches,2,2
"Clothing, Shoes & Jewelry > Up to 30% off Shoes, Handbags and More",2,"Clothing, Shoes & Jewelry","Up to 30% off Shoes, Handbags and More",1,1
"Clothing, Shoes & Jewelry > Up to 30% off select shoes from Clarks, ECCO, and more",2,"Clothing, Shoes & Jewelry","Up to 30% off select shoes from Clarks, ECCO, and more",1,1
"Clothing, Shoes & Jewelry > Up to 70% Off Men's Mid-Summer Savings",2,"Clothing, Shoes & Jewelry",Up to 70% Off Men's Mid-Summer Savings,1,1
"Clothing, Shoes & Jewelry > Veterans Day Savings: 20% or More Off",2,"Clothing, Shoes & Jewelry",Veterans Day Savings: 20% or More Off,2,2
"Clothing, Shoes & Jewelry > Westlake",2,"Clothing, Shoes & Jewelry",Westlake,1136,1136
"Clothing, Shoes & Jewelry > Wide Leg Pants",2,"Clothing, Shoes & Jewelry",Wide Leg Pants,1,1
"Clothing, Shoes & Jewelry > Women",2,"Clothing, Shoes & Jewelry",Women,26406,220
"Clothing, Shoes & Jewelry > Women's Activewear Under $25",2,"Clothing, Shoes & Jewelry",Women's Activewear Under $25,1,1
"Clothing, Shoes & Jewelry > Women's Apparel",2,"Clothing, Shoes & Jewelry",Women's Apparel,12,12
"Clothing, Shoes & Jewelry > Women's Boots Under $75",2,"Clothing, Shoes & Jewelry",Women's Boots Under $75,1,1
"Clothing, Shoes & Jewelry > Women's Comfort Shoes FA Test",2,"Clothing, Shoes & Jewelry",Women's Comfort Shoes FA Test,6,6
"Clothing, Shoes & Jewelry > Women's Dresses Under $25",2,"Clothing, Shoes & Jewelry",Women's Dresses Under $25,5,5
"Clothing, Shoes & Jewelry > Women's Fall Boots",2,"Clothing, Shoes & Jewelry",Women's Fall Boots,1,1
"Clothing, Shoes & Jewelry > Women's Festive Wear",2,"Clothing, Shoes & Jewelry",Women's Festive Wear,2,2
"Clothing, Shoes & Jewelry > Women's Halloween Costumes",2,"Clothing, Shoes & Jewelry",Women's Halloween Costumes,15,15
"Clothing, Shoes & Jewelry > Women's Maxi Dresses",2,"Clothing, Shoes & Jewelry",Women's Maxi Dresses,1,1
"Clothing, Shoes & Jewelry > Women's Oversized Blazers for Fall",2,"Clothing, Shoes & Jewelry",Women's Oversized Blazers for Fall,1,1
"Clothing, Shoes & Jewelry > Women's Plus-Size Apparel",2,"Clothing, Shoes & Jewelry",Women's Plus-Size Apparel,27,27
"Clothing, Shoes & Jewelry > Women's Romantic Loungewear",2,"Clothing, Shoes & Jewelry",Women's Romantic Loungewear,1,1
"Clothing, Shoes & Jewelry > Women's Sandal Markdowns",2,"Clothing, Shoes & Jewelry",Women's Sandal Markdowns,5,5
"Clothing, Shoes & Jewelry > Women's Shoes",2,"Clothing, Shoes & Jewelry",Women's Shoes,1,1
"Clothing, Shoes & Jewelry > Women's Summer-Ready Skirts",2,"Clothing, Shoes & Jewelry",Women's Summer-Ready Skirts,1,1
"Clothing, Shoes & Jewelry > Women's Sweaters Under $30",2,"Clothing, Shoes & Jewelry",Women's Sweaters Under $30,1,1
"Clothing, Shoes & Jewelry > Women's Sweaters Under $50",2,"Clothing, Shoes & Jewelry",Women's Sweaters Under $50,1,1
"Clothing, Shoes & Jewelry > Women's Swim Under $25",2,"Clothing, Shoes & Jewelry",Women's Swim Under $25,1,1
"Clothing, Shoes & Jewelry > Women's leopard print dresses",2,"Clothing, Shoes & Jewelry",Women's leopard print dresses,1,1
"Clothing, Shoes & Jewelry > Women's sleepwear, swimwear, and more from Ekouaer and AI'MAGE",2,"Clothing, Shoes & Jewelry","Women's sleepwear, swimwear, and more from Ekouaer and AI'MAGE",1,1
"Clothing, Shoes & Jewelry > Womens New Arrivals",2,"Clothing, Shoes & Jewelry",Womens New Arrivals,1,1
"Clothing, Shoes & Jewelry > Work Dresses Under $50",2,"Clothing, Shoes & Jewelry",Work Dresses Under $50,1,1
"Shoe, Jewelry & Watch Accessories > Shoe Care & Accessories",2,"Shoe, Jewelry & Watch Accessories",Shoe Care & Accessories,10,0
"Clothing, Shoes & Jewelry > Apparel and accessories Made in Italy > Men's fashion Made in Italy",3,"Clothing, Shoes & Jewelry > Apparel and accessories Made in Italy",Men's fashion Made in Italy,2,0
"Clothing, Shoes & Jewelry > Baby > Baby Boys",3,"Clothing, Shoes & Jewelry > Baby",Baby Boys,348,1
"Clothing, Shoes & Jewelry > Baby > Baby Girls",3,"Clothing, Shoes & Jewelry > Baby",Baby Girls,677,2
"Clothing, Shoes & Jewelry > Boot Shop > Boys",3,"Clothing, Shoes & Jewelry > Boot Shop",Boys,28,0
"Clothing, Shoes & Jewelry > Boot Shop > Girls",3,"Clothing, Shoes & Jewelry > Boot Shop",Girls,59,0
"Clothing, Shoes & Jewelry > Boot Shop > Men",3,"Clothing, Shoes & Jewelry > Boot Shop",Men,239,0
"Clothing, Shoes & Jewelry > Boot Shop > Women",3,"Clothing, Shoes & Jewelry > Boot Shop",Women,802,1
"Clothing, Shoes & Jewelry > Boys > Accessories",3,"Clothing, Shoes & Jewelry > Boys",Accessories,41,2
"Clothing, Shoes & Jewelry > Boys > Clothing",3,"Clothing, Shoes & Jewelry > Boys",Clothing,555,18
